ID	Condition	Trial	TrialPosition	LookingTime	SaccLatency	pred	notpred
6	Soc	12	24	883.3333333	1333.333333	0	1
6	Con	1	1	2025	750	1	0
6	Con	2	4	1675	1208.333333	0	1
6	Con	3	6	2225	1266.666667	0	1
6	Con	4	8	3233.333333	1250	0	1
6	Con	5	10	1700	1241.666667	0	1
6	Con	6	12	2908.333333	1233.333333	0	1
6	Con	7	13	1633.333333	1783.333333	0	1
6	Con	8	15	2608.333333	1241.666667	0	1
6	Con	9	18	3283.333333	1208.333333	0	1
6	Con	10	20	3158.333333	1225	0	1
6	Con	11	21	2450	1191.666667	1	0
6	Con	12	23	1800	1258.333333	0	1
7	Soc	1	1	NA	NA	NA	NA
7	Soc	2	3	3291.666667	1166.666667	1	0
7	Soc	3	6	3916.666667	825	1	0
7	Soc	4	8	3608.333333	1183.333333	1	0
7	Soc	5	9	3650	1183.333333	1	0
7	Soc	6	11	3525	1225	0	1
7	Soc	7	14	3600	1225	0	1
7	Soc	8	16	3641.666667	1125	1	0
7	Soc	9	18	2008.333333	1141.666667	1	0
7	Soc	10	20	3533.333333	1191.666667	1	0
7	Soc	11	21	3583.333333	1158.333333	1	0
7	Soc	12	24	3525	1258.333333	0	1
7	Con	1	2	1200	NA	NA	NA
7	Con	2	4	1758.333333	1191.666667	1	0
7	Con	3	5	1658.333333	1166.666667	1	0
7	Con	4	7	3866.666667	791.6666667	1	0
7	Con	5	10	3575	1200	1	0
7	Con	6	12	3416.666667	1325	0	1
7	Con	7	13	2625	1175	1	0
7	Con	8	15	3491.666667	1175	1	0
7	Con	9	17	NA	NA	NA	NA
7	Con	10	19	2741.666667	NA	NA	NA
7	Con	11	22	3541.666667	1225	0	1
7	Con	12	23	3941.666667	775	1	0
8	Soc	1	1	3541.666667	1216.666667	0	1
8	Soc	2	3	3058.333333	1233.333333	0	1
8	Soc	3	6	3516.666667	1000	1	0
8	Soc	4	7	3725	725	1	0
8	Soc	5	9	3950	716.6666667	1	0
8	Soc	6	11	3858.333333	683.3333333	1	0
8	Soc	7	14	900	1200	1	0
8	Soc	8	15	3583.333333	1200	1	0
8	Soc	9	18	2683.333333	1591.666667	0	1
8	Soc	10	19	3366.666667	725	1	0
8	Soc	11	22	575	1375	0	1
8	Soc	12	24	NA	NA	NA	NA
8	Con	1	2	3291.666667	1316.666667	0	1
8	Con	2	4	3391.666667	1241.666667	0	1
8	Con	3	5	3600	1225	0	1
8	Con	4	8	3491.666667	1283.333333	0	1
8	Con	5	10	3475	1291.666667	0	1
8	Con	6	12	3533.333333	1208.333333	0	1
